state_code,state_name,sex,age,mx,qx,lx,dx,Lx,Tx,ex
0,República Mexicana,male,13,0.0004796266503,0.000479511657,98244.63966,47.10944996,98221.08494,5951788.266,60.58130282
0,República Mexicana,male,14,0.0006298833167,0.0006296850027,98197.53021,61.83351207,98166.61346,5853567.181,59.61012632
0,República Mexicana,male,15,0.0008213286351,0.0008209914832,98135.6967,80.56857119,98095.41242,5755400.567,58.64737054
0,República Mexicana,male,16,0.001051435017,0.00105088255,98055.12813,103.0444231,98003.60592,5657305.155,57.69514826
0,República Mexicana,male,17,0.001314715511,0.00131385184,97952.08371,128.6945254,97887.73644,5559301.549,56.75531687
0,República Mexicana,male,18,0.001604443346,0.001603157258,97823.38918,156.8262764,97744.97604,5461413.812,55.82932526
0,República Mexicana,male,19,0.00191367476,0.001911845435,97666.56291,186.7233725,97573.20122,5363668.836,54.9181693
0,República Mexicana,male,20,0.002231894058,0.002229406159,97479.83953,217.3221546,97371.17846,5266095.635,54.02240771
0,República Mexicana,male,21,0.002553558196,0.002550302023,97262.51738,248.0487949,97138.49298,5168724.457,53.14199751
0,República Mexicana,male,22,0.002878963081,0.002874824824,97014.46858,278.8996025,96875.01878,5071585.964,52.27659377
0,República Mexicana,male,23,0.003198044589,0.003192939008,96735.56898,308.8707717,96581.1336,4974710.945,51.42587155
0,República Mexicana,male,24,0.003495452154,0.003489353719,96426.69821,336.466858,96258.46478,4878129.811,50.5889956
0,República Mexicana,male,25,0.003751279464,0.003744256588,96090.23135,359.7864817,95910.33811,4781871.347,49.76438582
0,República Mexicana,male,26,0.003973410544,0.003965532201,95730.44487,379.6221617,95540.63379,4685961.008,48.94953758
0,República Mexicana,male,27,0.004171252689,0.004162571121,95350.82271,396.9045809,95152.37042,4590420.375,48.1424307
0,República Mexicana,male,28,0.004350300825,0.004340858804,94953.91813,412.1815514,94747.82735,4495268.004,47.34157466
0,República Mexicana,male,29,0.00450637973,0.004496248828,94541.73658,425.0831723,94329.19499,4400520.177,46.54579381
0,República Mexicana,male,30,0.004640289209,0.004629547988,94116.6534,435.7175634,93898.79462,4306190.982,45.75376223
0,República Mexicana,male,31,0.004755117124,0.004743838371,93680.93584,444.4072181,93458.73223,4212292.187,44.96424112
0,República Mexicana,male,32,0.004856018334,0.004844256435,93236.52862,451.6616538,93010.69779,4118833.455,44.17617768
0,República Mexicana,male,33,0.004925163612,0.004913064788,92784.86697,455.8580628,92556.93794,4025822.757,43.38878622
0,República Mexicana,male,34,0.004968670253,0.004956357002,92329.00891,457.6155297,92100.20114,3933265.819,42.60054197
0,República Mexicana,male,35,0.005007450695,0.004994944725,91871.39338,458.8925317,91641.94711,3841165.618,41.81024666
0,República Mexicana,male,36,0.005043401318,0.00503071536,91412.50084,459.8702721,91182.56571,3749523.671,41.0176249
0,República Mexicana,male,37,0.005078980014,0.005066114666,90952.63057,460.7764557,90722.24234,3658341.105,40.22248815
0,República Mexicana,male,38,0.0051218373,0.005108754196,90491.85412,462.3006394,90260.7038,3567618.863,39.42475152
0,República Mexicana,male,39,0.005167424067,0.005154107338,90029.55348,464.0219822,89797.54249,3477358.159,38.62462964
0,República Mexicana,male,40,0.005207616539,0.005194092119,89565.53149,465.2116212,89332.92568,3387560.617,37.82214609
0,República Mexicana,male,41,0.005251454313,0.005237701537,89100.31987,466.6808824,88866.97943,3298227.691,37.01701291
0,República Mexicana,male,42,0.005297512061,0.005283517313,88633.63899,468.2973661,88399.49031,3209360.712,36.20928519
0,República Mexicana,male,43,0.00535977561,0.005345450402,88165.34162,471.2834609,87929.69989,3120961.221,35.39895796
0,República Mexicana,male,44,0.005439764295,0.00542500891,87694.05816,475.7410469,87456.18764,3033031.521,34.58651116
0,República Mexicana,male,45,0.005543777985,0.005528453725,87218.31712,482.1824302,86977.2259,2945575.334,33.77243945
0,República Mexicana,male,46,0.005674263975,0.005658210884,86736.13469,490.7713413,86490.74902,2858598.108,32.95740718
0,República Mexicana,male,47,0.005846717772,0.005829675538,86245.36335,502.782485,85993.9721,2772107.359,32.14210308
0,República Mexicana,male,48,0.006068136107,0.006049780661,85742.58086,518.7238075,85483.21896,2686113.387,31.32764794
0,República Mexicana,male,49,0.006323197965,0.006303269554,85223.85705,537.1889434,84955.26258,2600630.168,30.5152836
0,República Mexicana,male,50,0.00661406066,0.006592259857,84686.66811,558.2765226,84407.52985,2515674.905,29.70567814
0,República Mexicana,male,51,0.006937382163,0.006913401708,84128.39159,581.6133661,83837.5849,2431267.375,28.8994872
0,República Mexicana,male,52,0.007300667657,0.00727411471,83546.77822,607.7288484,83242.9138,2347429.791,28.09719106
0,República Mexicana,male,53,0.007703087537,0.00767353259,82939.04937,636.4354984,82620.83162,2264186.877,27.29940714
0,República Mexicana,male,54,0.008149163172,0.008116093486,82302.61387,667.9757084,81968.62602,2181566.045,26.5066435
0,República Mexicana,male,55,0.008651558902,0.008614295361,81634.63817,703.2248848,81283.02572,2099597.419,25.71944295
0,República Mexicana,male,56,0.009199609365,0.009157486715,80931.41328,741.128342,80560.84911,2018314.393,24.93857838
0,República Mexicana,male,57,0.009804602942,0.009756772303,80190.28494,782.3983511,79799.08576,1937753.544,24.16444268
0,República Mexicana,male,58,0.01048317258,0.01042851064,79407.88659,828.1059903,78993.83359,1857954.458,23.39760619
0,República Mexicana,male,59,0.01125095382,0.01118801589,78579.7806,879.1518342,78140.20468,1778960.625,22.63891056
0,República Mexicana,male,60,0.01208113931,0.01200860052,77700.62876,933.0758113,77234.09086,1700820.42,21.88940356
0,República Mexicana,male,61,0.0129821493,0.01289842466,76767.55295,990.180498,76272.4627,1623586.329,21.14938235
0,República Mexicana,male,62,0.01397177605,0.01387484792,75777.37245,1051.399518,75251.67269,1547313.867,20.41920717
0,República Mexicana,male,63,0.01507083003,0.01495811443,74725.97294,1117.759654,74167.09311,1472062.194,19.69947176
0,República Mexicana,male,64,0.01625598265,0.01612491944,73608.21328,1186.92651,73014.75003,1397895.101,18.99102068
0,República Mexicana,male,65,0.0175423794,0.01738984973,72421.28677,1259.395294,71791.58912,1324880.351,18.29407361
0,República Mexicana,male,66,0.01890936319,0.01873225568,71161.89148,1333.022746,70495.3801,1253088.762,17.60898615
0,República Mexicana,male,67,0.02043974033,0.02023296208,69828.86873,1412.844853,69122.44631,1182593.382,16.93559416
0,República Mexicana,male,68,0.02214323785,0.02190076097,68416.02388,1498.362986,67666.84239,1113470.935,16.27500214
0,República Mexicana,male,69,0.02407762725,0.02379120932,66917.66089,1592.052077,66121.63485,1045804.093,15.62822249
0,República Mexicana,male,70,0.02593021183,0.02559832681,65325.60882,1672.226283,64489.49567,979682.458,14.99691279
0,República Mexicana,male,71,0.0280153736,0.02762836413,63653.38253,1758.638831,62774.06312,915192.9624,14.37775851
0,República Mexicana,male,72,0.03019258696,0.02974356931,61894.7437,1840.970599,60974.2584,852418.8992,13.77207253
0,República Mexicana,male,73,0.03250078603,0.0319810809,60053.7731,1920.584576,59093.48081,791444.6408,13.17893281
0,República Mexicana,male,74,0.03524039605,0.03463020498,58133.18853,2013.164235,57126.60641,732351.16,12.5978151
0,República Mexicana,male,75,0.03821351103,0.0374970638,56120.02429,2104.336131,55067.85623,675224.5536,12.03179368
0,República Mexicana,male,76,0.04143537811,0.04059435685,54015.68816,2192.73212,52919.3221,620156.6974,11.48104779
0,República Mexicana,male,77,0.04493429419,0.04394693201,51822.95604,2277.459925,50684.22608,567237.3753,10.94567772
0,República Mexicana,male,78,0.04873744646,0.0475780306,49545.49611,2357.27713,48366.85755,516553.1492,10.42583463
0,República Mexicana,male,79,0.05304005147,0.0516697679,47188.21898,2438.204322,45969.11682,468186.2917,9.921677524
0,República Mexicana,male,80,0.05746650804,0.05586142746,44750.01466,2499.799698,43500.11481,422217.1748,9.435017576
0,República Mexicana,male,81,0.06217290845,0.06029844364,42250.21496,2547.622206,40976.40386,378717.06,8.963671791
0,República Mexicana,male,82,0.06755776416,0.06535030394,39702.59276,2594.576504,38405.30451,337740.6562,8.506765748
0,República Mexicana,male,83,0.07332290121,0.07072984258,37108.01625,2624.644148,35795.69418,299335.3517,8.066595358
0,República Mexicana,male,84,0.07954297776,0.07650044131,34483.37211,2637.993184,33164.37551,263539.6575,7.642514099
0,República Mexicana,male,85,0.08623611618,0.0826714824,31845.37892,2632.704683,30529.02658,230375.282,7.234182471
0,República Mexicana,male,86,0.09350533144,0.08932896424,29212.67424,2609.537932,27907.90527,199846.2554,6.841080476
0,República Mexicana,male,87,0.1013327837,0.09644620264,26603.13631,2565.771475,25320.25057,171938.3501,6.463085711
0,República Mexicana,male,88,0.1097730892,0.1040615123,24037.36483,2501.364537,22786.68256,146618.0996,6.099591223
0,República Mexicana,male,89,0.1190620061,0.1123723664,21536.00029,2420.051317,20325.97464,123831.417,5.74997285
0,República Mexicana,male,90,0.1292595334,0.1214126614,19115.94898,2320.918241,17955.48986,103505.4424,5.414611771
0,República Mexicana,male,91,0.1403640888,0.1311590767,16795.03074,2202.820724,15693.62037,85549.9525,5.09376576
0,República Mexicana,male,92,0.1524322611,0.1416372203,14592.21001,2066.800064,13558.80998,69856.33212,4.787234563
0,República Mexicana,male,93,0.1653562415,0.1527289028,12525.40995,1912.992119,11568.91389,56297.52214,4.494665034
